COMMAND
./sim gshare 12 12 perl_trace.txt
OUTPUT
number of predictions:		2000000
number of mispredictions:	137674
misprediction rate:		6.88%
FINAL GSHARE CONTENTS
0	4
1	7
2	7
3	7
4	2
5	7
6	5
7	7
8	7
9	7
10	7
11	7
12	5
13	3
14	5
15	5
16	0
17	7
18	7
19	0
20	6
21	0
22	2
23	7
24	6
25	7
26	7
27	7
28	7
29	7
30	4
31	7
32	7
33	4
34	0
35	0
36	7
37	7
38	6
39	4
40	5
41	7
42	7
43	5
44	1
45	7
46	1
47	6
48	5
49	7
50	5
51	0
52	7
53	7
54	0
55	4
56	5
57	5
58	4
59	1
60	6
61	7
62	7
63	3
64	7
65	7
66	7
67	7
68	4
69	4
70	7
71	5
72	7
73	7
74	5
75	7
76	0
77	7
78	7
79	7
80	6
81	7
82	7
83	4
84	7
85	7
86	7
87	2
88	7
89	7
90	2
91	7
92	7
93	7
94	7
95	0
96	7
97	0
98	5
99	0
100	0
101	7
102	7
103	7
104	7
105	6
106	0
107	4
108	2
109	2
110	7
111	7
112	3
113	7
114	0
115	0
116	7
117	5
118	5
119	7
120	7
121	7
122	6
123	5
124	4
125	4
126	3
127	7
128	0
129	0
130	0
131	0
132	6
133	0
134	0
135	1
136	2
137	3
138	0
139	0
140	7
141	5
142	6
143	5
144	7
145	6
146	7
147	6
148	5
149	0
150	7
151	6
152	6
153	0
154	3
155	7
156	0
157	0
158	0
159	7
160	7
161	6
162	6
163	6
164	0
165	0
166	2
167	7
168	3
169	2
170	7
171	7
172	5
173	3
174	5
175	0
176	1
177	4
178	7
179	7
180	7
181	1
182	0
183	7
184	0
185	7
186	7
187	7
188	1
189	3
190	7
191	3
192	7
193	4
194	0
195	2
196	7
197	0
198	0
199	6
200	2
201	7
202	5
203	0
204	0
205	7
206	1
207	5
208	4
209	7
210	0
211	5
212	7
213	7
214	7
215	4
216	4
217	5
218	5
219	7
220	7
221	0
222	7
223	6
224	1
225	1
226	7
227	0
228	7
229	7
230	0
231	7
232	4
233	1
234	0
235	0
236	6
237	5
238	7
239	6
240	1
241	7
242	6
243	7
244	0
245	5
246	7
247	0
248	6
249	0
250	7
251	6
252	7
253	0
254	6
255	4
256	7
257	5
258	4
259	7
260	7
261	7
262	7
263	7
264	3
265	2
266	7
267	7
268	6
269	0
270	0
271	5
272	7
273	7
274	0
275	5
276	7
277	7
278	7
279	7
280	7
281	4
282	7
283	1
284	7
285	0
286	7
287	0
288	1
289	5
290	6
291	7
292	7
293	0
294	5
295	0
296	0
297	0
298	0
299	7
300	2
301	7
302	2
303	0
304	7
305	7
306	7
307	4
308	7
309	7
310	0
311	2
312	7
313	1
314	0
315	1
316	6
317	7
318	0
319	3
320	7
321	7
322	0
323	5
324	7
325	7
326	7
327	7
328	7
329	0
330	6
331	0
332	7
333	7
334	7
335	6
336	0
337	7
338	7
339	7
340	3
341	7
342	0
343	7
344	7
345	7
346	4
347	0
348	5
349	7
350	5
351	0
352	7
353	6
354	7
355	7
356	5
357	0
358	7
359	4
360	4
361	2
362	4
363	5
364	3
365	2
366	4
367	7
368	7
369	7
370	7
371	7
372	7
373	7
374	1
375	7
376	7
377	0
378	4
379	7
380	0
381	7
382	7
383	7
384	7
385	2
386	7
387	6
388	0
389	3
390	7
391	7
392	0
393	0
394	4
395	3
396	0
397	0
398	2
399	0
400	0
401	6
402	0
403	7
404	7
405	7
406	0
407	6
408	7
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	7
417	1
418	5
419	7
420	3
421	7
422	7
423	4
424	7
425	0
426	7
427	7
428	4
429	7
430	7
431	5
432	5
433	5
434	7
435	0
436	4
437	3
438	0
439	0
440	7
441	2
442	4
443	6
444	6
445	3
446	5
447	4
448	0
449	0
450	6
451	7
452	0
453	7
454	7
455	0
456	0
457	0
458	5
459	6
460	2
461	1
462	0
463	0
464	7
465	7
466	2
467	6
468	0
469	1
470	7
471	4
472	5
473	4
474	0
475	3
476	7
477	4
478	2
479	0
480	7
481	0
482	3
483	4
484	0
485	7
486	3
487	4
488	3
489	2
490	6
491	7
492	7
493	7
